id,title,duration_s,url,query,label
CKQoXx6pqAA,Piccadilly Circus 3D billboard takeover | Meta Quest,35,https://www.youtube.com/watch?v=CKQoXx6pqAA,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
NR7jNrTuE7A,Night Street Time Lapse with Billboard  Advertisements Billboard Green Screen With Download Link,29,https://www.youtube.com/watch?v=NR7jNrTuE7A,ytsearch15:billboard advertisement street real footage,REAL_FP_TRAP
tQ1cowPok04,BoxCast's Scoreboard Assist: How it Works,120,https://www.youtube.com/watch?v=tQ1cowPok04,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
nZdan7fUiD0,How to Add a Manual Scoreboard to Your Broadcast,102,https://www.youtube.com/watch?v=nZdan7fUiD0,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
nivQ3qH6bTQ,"OBS Scoreboard Overlay for Soccer, Rugby & GAA (Football & Hurling) - OBScoreboard",160,https://www.youtube.com/watch?v=nivQ3qH6bTQ,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
sqhz-AHMRso,vMix - iSoccer Plus Package,62,https://www.youtube.com/watch?v=sqhz-AHMRso,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
ra3nUXu8bv4,"How to Add Scoreboard, Team Lineup & Announcement Overlays in Prism Live Studio (2025 Guide)",210,https://www.youtube.com/watch?v=ra3nUXu8bv4,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
LQO4Q-1CHyM,Sports Broadcast Motion Design Sample | Unreal Engine,59,https://www.youtube.com/watch?v=LQO4Q-1CHyM,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
15BHZzQpi7A,Scoreboard Overlays with BoxCast,70,https://www.youtube.com/watch?v=15BHZzQpi7A,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
9IlzCAsi4Kc,Football Overlay for Streaming – Ready-to-Use OBS Studio Scenes + Live Match Customization,48,https://www.youtube.com/watch?v=9IlzCAsi4Kc,ytsearch15:sports broadcast score overlay real game,REAL_FP_TRAP
XxZv6EeBzyU,People Walk By Metro Station Stock Video,24,https://www.youtube.com/watch?v=XxZv6EeBzyU,ytsearch15:subway metro station signs walking,REAL_FP_TRAP
T5SWNL945IQ,City Harvest - Subway Apples | Spot,32,https://www.youtube.com/watch?v=T5SWNL945IQ,ytsearch15:subway metro station signs walking,REAL_FP_TRAP
19Jc07yHp38,Subway Station Signs 2,13,https://www.youtube.com/watch?v=19Jc07yHp38,ytsearch15:subway metro station signs walking,REAL_FP_TRAP
